GEOID,API,ncescode,name,levelcode_sch,rating_sch,frpl_sch,enrollment_sch,white_sch,black_sch,hispanic_sch,asian_sch,multiracial_sch,native_american_sch,distance,feet,white_tract,black_tract,asian_tract,hispanic_tract,highschool_tract,bachelors_tract,med_earnings_adults,poverty_tract,foodstamps_tract
6023011500,402320023,63759006370,Whitethorn Elementary School,"e,m",2,0.282,80,0.820513,NA,0.0769231,0.0128205,0.0384615,0.025641,9849.87,32315.85,0.9084932,0.008219178,0.000547945,0.09178082,0.9083125,0.1958616,NA,0.242013,0.4876033
6023011500,402320023,63759007879,Ettersburg Elementary,e,NA,NA,9,NA,NA,NA,NA,NA,NA,7734.743,25376.45,0.9084932,0.008219178,0.000547945,0.09178082,0.9083125,0.1958616,NA,0.242013,0.4876033
6023011500,402300067,63759006368,Redway Elementary School,"e,m",4,0.556,301,0.783951,0.00925926,0.132716,0.00925926,0.058642,0.00308642,5602.501,18380.91,0.9084932,0.008219178,0.000547945,0.09178082,0.9083125,0.1958616,NA,0.242013,0.4876033
6023011600,402300066,63759006369,South Fork Junior - Senior High School,"m,h",6,0.54,279,0.719665,0.0167364,0.133891,0.0292887,0.0167364,0.0794979,16438.59,53932.37,0.9114639,0.02099031,0.009149623,0.03902045,0.8703448,0.1413793,NA,0.2731432,0.04615385
6023011600,402300066,63759006366,Osprey Learning Center,h,NA,0.667,18,0.777778,0.0555556,0.0555556,0.0555556,0.0555556,NA,16238.63,53276.36,0.9114639,0.02099031,0.009149623,0.03902045,0.8703448,0.1413793,NA,0.2731432,0.04615385
6023011600,402300067,69100910795,Southern Humboldt Community School,"m,h",NA,0.75,14,0.75,NA,0.0833333,NA,0.0833333,0.0833333,3555.748,11665.84,0.9114639,0.02099031,0.009149623,0.03902045,0.8703448,0.1413793,NA,0.2731432,0.04615385
6023011600,402300070,63759006363,Agnes J. Johnson  Elementary School,e,7,0.667,48,0.757576,0.030303,0.136364,0.060606,NA,0.0151515,16070.42,52724.49,0.9114639,0.02099031,0.009149623,0.03902045,0.8703448,0.1413793,NA,0.2731432,0.04615385
6023011600,402300066,63759007880,Osprey Learning Center (Alternative),"e,m,h",NA,0.333,3,1,NA,NA,NA,NA,NA,16239.97,53280.75,0.9114639,0.02099031,0.009149623,0.03902045,0.8703448,0.1413793,NA,0.2731432,0.04615385
6023011600,402300067,63759006365,Casterlin Elementary School,"e,m",NA,0.45,37,0.675,0.025,0.175,NA,0.075,0.05,26849.92,88090.3,0.9114639,0.02099031,0.009149623,0.03902045,0.8703448,0.1413793,NA,0.2731432,0.04615385
6023940000,402300093,6.20E+10,Captain John Continuation High School,h,1,0.907,39,0.0232558,NA,0.0465116,NA,0.0232558,0.906977,31832.93,104438.8,0.1237323,0.000676133,0.01555105,0.04293441,0.8335247,0.1469575,NA,0.358983,0.7657658
6025010102,402500004,6.07E+10,Bill E. Young Jr. Middle School,m,5,0.741,393,0.108108,0.0324324,0.851351,0.0027027,0.00540541,NA,5111.366,16769.57,0.7482185,0.01813863,0.000647808,0.8842583,0.5419255,0.04736025,NA,0.330741,0.6072607
