Year, Month, Monthly MRSL in meters
1992,10,-0.033
1992,11,-0.036
1992,12,0.04
1993,1,-0.013
1993,2,0.062
1993,3,-0.021
1993,4,0.083
1993,5,0.049
1993,6,0.001
1993,7,0.025
1993,8,0.003
1993,9,-0.003
1993,10,-0.033
1993,11,-0.073
1993,12,0.034
1994,1,-0.111
1994,2,-0.065
1994,3,-0.012
1994,4,-0.115
1994,5,0.018
1994,6,-0.076
1994,7,-0.017
1994,8,-0.03
1994,9,0.017
1994,10,-0.032
1994,11,-0.097
1994,12,-0.02
1995,1,-0.018
1995,2,-0.037
1995,3,-0.026
1995,4,-0.058
1995,5,0.021
1995,6,-0.063
1995,7,-0.013
1995,8,0.023
1995,9,0
1995,10,0.014
1995,11,0.048
1995,12,0.068
1996,1,0.087
1996,2,0.036
1996,3,-0.006
1996,4,0.072
1996,5,0.014
1996,6,-0.009
1996,7,0.034
1996,8,0.007
1996,9,0.153
1996,10,0.102
1996,11,0.06
1996,12,0.102
1997,1,0.05
1997,2,0.015
1997,3,0.018
1997,4,0.125
1997,5,0.007
1997,6,0.04
1997,7,0.009
1997,8,0.03
1997,9,0.033
1997,10,0.03
1997,11,0.083
1997,12,0.067
1998,1,0.128
1998,2,0.194
1998,3,0.084
1998,4,0.114
1998,5,0.119
1998,6,0.07
1998,7,0.057
1998,8,-0.008
1998,9,0.049
1998,10,-0.014
1998,11,-0.025
1998,12,-0.022
1999,1,-0.034
1999,2,0.08
1999,3,0.022
1999,4,0.055
1999,5,0.009
1999,6,-0.032
1999,7,0.03
1999,8,0.046
1999,9,0.03
1999,10,-0.02
1999,11,-0.044
1999,12,-0.007
2000,1,0.005
2000,2,-0.086
2000,3,0.032
2000,4,0.029
2000,5,0.064
2000,6,0.026
2000,7,0.066
2000,8,0.041
2000,9,0.005
2000,10,-0.032
2000,11,0.058
2000,12,-0.067
2001,1,0.03
2001,2,-0.07
2001,3,0.068
2001,4,-0.011
2001,5,0.006
2001,6,-0.016
2001,7,0.008
2001,8,0.008
2001,9,0.038
2001,10,0.007
2001,11,-0.025
2001,12,0.042
2002,1,0.006
2002,2,0.056
2002,3,-0.091
2002,4,-0.056
2002,5,-0.021
2002,6,-0.005
2002,7,0.019
2002,8,0.027
2002,9,0.044
2002,10,0.032
2002,11,0.024
2002,12,0.053
2003,1,0.04
2003,2,-0.083
2003,3,-0.004
2003,4,0.023
2003,5,0.046
2003,6,0.063
2003,7,0.046
2003,8,0.05
2003,9,0.058
2003,10,0.015
2003,11,0.015
2003,12,0.07
2004,1,0.006
2004,2,-0.037
2004,3,-0.019
2004,4,0.014
2004,5,-0.002
2004,6,0.027
2004,7,0.044
2004,8,0.026
2004,9,0.05
2004,10,0.128
2004,11,0.053
2004,12,0.067
2005,1,0.083
2005,2,0.083
2005,3,0.115
2005,4,0.131
2005,5,0.176
2005,6,0.091
2005,7,0.091
2005,8,0.062
2005,9,0.042
2005,10,0.108
2005,11,0.043
2005,12,0.041
2006,1,0.09
2006,2,0.062
2006,3,0.047
2006,4,0.028
2006,5,0.133
2006,6,0.098
2006,7,0.051
2006,8,0.079
2006,9,0.105
2006,10,0.089
2006,11,0.073
2006,12,0.014
2007,1,0.036
2007,2,-0.031
2007,3,-0.065
2007,4,0.102
2007,5,0.027
2007,6,0.107
2007,7,0.069
2007,8,0.062
2007,9,0.026
2007,10,0.07
2007,11,0.023
2007,12,0.012
2008,1,0.041
2008,2,0.028
2008,3,0.023
2008,4,0.017
2008,5,0.139
2008,6,0.068
2008,7,0.057
2008,8,0.097
2008,9,0.062
2008,10,0.088
2008,11,0.06
2008,12,0.007
2009,1,0.04
2009,2,0.082
2009,3,0.038
2009,4,0.058
2009,5,0.033
2009,6,0.153
2009,7,0.152
2009,8,0.1
2009,9,0.15
2009,10,0.14
2009,11,0.114
2009,12,0.122
2010,1,0.189
2010,2,0.237
2010,3,0.278
2010,4,0.167
2010,5,0.108
2010,6,0.12
2010,7,0.104
2010,8,0.105
2010,9,0.12
2010,10,0.125
2010,11,0.123
2010,12,0.195
2011,1,0.139
2011,2,0.105
2011,3,0.067
2011,4,0.089
2011,5,0.16
2011,6,0.158
2011,7,0.139
2011,8,0.158
2011,9,0.106
2011,10,0.164
2011,11,0.059
2011,12,0.059
2012,1,0.055
2012,2,0.056
2012,3,0.056
2012,4,0.12
2012,5,0.064
2012,6,0.168
2012,7,0.111
2012,8,0.099
2012,9,0.062
2012,10,0.128
2012,11,0.103
2012,12,0.164
2013,1,0.032
2013,2,0.086
2013,3,0.218
2013,4,0.054
2013,5,0.059
2013,6,0.114
2013,7,0.14
2013,8,0.113
2013,9,0.106
